ma_vt,ma_vt2,gia_nt2
KGB47000600     ,KG6103          ,5269000
KGB47000800     ,KG6101N         ,4070000
KGB47000800     ,KG6101N         ,4477000
KGB47001500     ,KG6116          ,2920000
KGB47001900     ,KG6211          ,2260000
KGB47002700     ,KG6107N         ,3960000
KGB48000400     ,KG6300          ,440000
KGB48000800     ,KG6001          ,570000
KGB48001100     ,KG6304H         ,770000
KGB48001300     ,KG6302          ,847000
KGB48001700     ,KG6305          ,420000
KGE05001700     ,KG64            ,0
KGE05005200     ,KG69A2          ,3300000
KGE05005200     ,KG69A2          ,3630000
KGE05005400     ,KG69A3          ,3520000
KGE05005600     ,KG68A2          ,3400000
KGE05005700     ,KG68IOT         ,4829000
KGE05005900     ,KG518N          ,2650000
KGE05006000     ,KG516           ,3000000
KGE05008400     ,KG589G          ,1864200
KGE18004400     ,DI2830          ,8550000
KGE18004600     ,PT1618          ,9075000
KGE18004605     ,PT1618          ,8780000
KGE18004605     ,PT1618          ,9658000
KGE18004800     ,PT2022          ,9700000
KGE18005001     ,KGE18005001     ,8140000
KGE18005804     ,KGE18005804     ,8107000
KGE18005902     ,KGE18005902     ,9427000
KGE18005904     ,KGE18005904     ,8000000
KGE18006000     ,GD2020          ,6850000
KGE18006002     ,KGE18006002     ,9200000
KGE18006200     ,GD2830          ,11110000
KGH01006800     ,KG120           ,13400000
KGH03000705     ,KG400VN         ,13900000
KGH03004503     ,KG104AVTU       ,3512000
KGH03004503     ,KG104AVTU       ,4961000
KGH03004804     ,KG108AVTU       ,4054000
KGH03004805     ,KG-108VTU       ,3952000
KGH03004805     ,KG-108VTU       ,4400000
KGH03004904     ,KG109AVTU       ,3898500
KGH03006500     ,KG-110          ,3619500
KGH03006501     ,KG-110VTU       ,5670000
KGH03006600     ,KGMC09          ,4400000
KGH03006601     ,KGMC09VTU       ,5445000
KGH03006801     ,KG01G4VTU       ,4880000
KGH03007200     ,KG100HP         ,6600000
KGH03007800     ,KG01G3          ,1384500
KGH03008501     ,KG09A3VTU       ,6089000
KGH03008501     ,KG09A3VTU       ,6174870
KGH03008601     ,KG10A3VTU       ,6250000
KGH03010700     ,KG100HG         ,5550000
KGH03010701     ,KG100HGVTU      ,8745000
KGH03011301     ,KG99AVTU        ,4650000
KGH03011301     ,KG99AVTU        ,5120000
KGH03011301     ,KG99AVTU        ,5632000
KGH03011500     ,KG100HB         ,5780000
KGH03013600     ,KG100HU         ,7865000
KGH03013800     ,KG108WVTU       ,3900000
KGH03014400     ,KG10G5VTU       ,6082570
KGH03015700     ,KG3500AVTU      ,5040000
KGH03015700     ,KG3500AVTU      ,5430000
KGH03017200     ,KG100EO         ,10285000
KGP01007200     ,KG2209P3        ,5700000
KGP01008600     ,KGP01008600     ,330000
KGW44009700     ,KG329NC1        ,7900000
KGW44009700     ,KG329NC1        ,7920000
KGW44009700     ,KG329NC1        ,8712000
KGW44010000     ,KG409CT1        ,13000000
KGW44010400     ,KG400DM2        ,9000000
KGW44010400     ,KG400DM2        ,9900000
KGW44010600     ,KG268DM1        ,7480000
KGW44010700     ,KG268DM2        ,8790000
KGW44011200     ,KG398DM2        ,6776000
KGW44012800     ,KG398G2         ,9000000
KPG22030600     ,KPG22030600     ,373450
SPE1814000500   ,SPE1814000500   ,3900000
SPE1861000100   ,SPE1861000100   ,5100000
SPE1862000100   ,SPE1862000100   ,6050000
SPH0310400300   ,SPH0310400300   ,242000
SPH0366001600   ,VTUXM           ,715000
SPH0372000600   ,LOI SO 5 - HP   ,220000
SPH0372000600   ,LOI SO 5 - HP   ,264000
SPH0372000800   ,LOI SO 7 - HP   ,308000
KGB47000600     ,KG6103          ,4350000
KGB47001600     ,KG6106          ,3280000
KGB47001600     ,KG6106          ,3608000
KGB47001800     ,KG6210          ,2409000
KGB47002200     ,KG6115          ,1800000
KGB47002500     ,KG6104N         ,3630000
KGB47002600     ,KG6105N         ,3520000
KGB48000800     ,KG6001          ,627000
